Date,Close,Signal,Cash,Shares,Position_Value,Portfolio_Value
2022-08-22,167.57000732421875,Sell,13355.958037781204,0.0,0.0,13355.958037781204
2022-08-23,167.22999572753906,Hold,13355.958037781204,0.0,0.0,13355.958037781204
2022-08-24,167.52999877929688,Hold,13355.958037781204,0.0,0.0,13355.958037781204
2022-08-25,170.02999877929688,Hold,13355.958037781204,0.0,0.0,13355.958037781204
2022-08-26,163.6199951171875,Hold,13355.958037781204,0.0,0.0,13355.958037781204
2022-08-29,161.3800048828125,Hold,13355.958037781204,0.0,0.0,13355.958037781204
2022-08-30,158.91000366210938,Hold,13355.958037781204,0.0,0.0,13355.958037781204
2022-08-31,157.22000122070312,Hold,13355.958037781204,0.0,0.0,13355.958037781204
2022-09-01,157.9600067138672,Hold,13355.958037781204,0.0,0.0,13355.958037781204
2022-09-02,155.80999755859375,Sell,13355.958037781204,0.0,0.0,13355.958037781204
2022-09-06,154.52999877929688,Sell,13355.958037781204,0.0,0.0,13355.958037781204
2022-09-07,155.9600067138672,Sell,13355.958037781204,0.0,0.0,13355.958037781204
2022-09-08,154.4600067138672,Sell,13355.958037781204,0.0,0.0,13355.958037781204
2022-09-09,157.3699951171875,Sell,13355.958037781204,0.0,0.0,13355.958037781204
2022-09-12,163.42999267578125,Hold,13355.958037781204,0.0,0.0,13355.958037781204
2022-09-13,153.83999633789062,Sell,13355.958037781204,0.0,0.0,13355.958037781204
2022-09-14,155.30999755859375,Sell,13355.958037781204,0.0,0.0,13355.958037781204
2022-09-15,152.3699951171875,Sell,13355.958037781204,0.0,0.0,13355.958037781204
2022-09-16,150.6999969482422,Sell,13355.958037781204,0.0,0.0,13355.958037781204
2022-09-19,154.47999572753906,Strong Sell,13355.958037781204,0.0,0.0,13355.958037781204
2022-09-20,156.89999389648438,Hold,13355.958037781204,0.0,0.0,13355.958037781204
2022-09-21,153.72000122070312,Sell,13355.958037781204,0.0,0.0,13355.958037781204
2022-09-22,152.74000549316406,Hold,13355.958037781204,0.0,0.0,13355.958037781204
2022-09-23,150.42999267578125,Sell,13355.958037781204,0.0,0.0,13355.958037781204
2022-09-26,150.77000427246094,Sell,13355.958037781204,0.0,0.0,13355.958037781204
2022-09-27,151.75999450683594,Sell,13355.958037781204,0.0,0.0,13355.958037781204
2022-09-28,149.83999633789062,Sell,13355.958037781204,0.0,0.0,13355.958037781204
2022-09-29,142.47999572753906,Sell,13355.958037781204,0.0,0.0,13355.958037781204
2022-09-30,138.1999969482422,Hold,13355.958037781204,0.0,0.0,13355.958037781204
2022-10-03,142.4499969482422,Sell,13355.958037781204,0.0,0.0,13355.958037781204
2022-10-04,146.10000610351562,Sell,13355.958037781204,0.0,0.0,13355.958037781204
2022-10-05,146.39999389648438,Sell,13355.958037781204,0.0,0.0,13355.958037781204
2022-10-06,145.42999267578125,Hold,13355.958037781204,0.0,0.0,13355.958037781204
2022-10-07,140.08999633789062,Hold,13355.958037781204,0.0,0.0,13355.958037781204
2022-10-10,140.4199981689453,Sell,13355.958037781204,0.0,0.0,13355.958037781204
2022-10-11,138.97999572753906,Sell,13355.958037781204,0.0,0.0,13355.958037781204
2022-10-12,138.33999633789062,Sell,13355.958037781204,0.0,0.0,13355.958037781204
2022-10-13,142.99000549316406,Sell,13355.958037781204,0.0,0.0,13355.958037781204
